route,total_flights,on_time_pct,avg_delay,total_delay_minutes
SEA → LAX,14858,82.84,10.75,158196.0
IAH → DEN,9593,77.86,16.72,157944.0
ATW → ORD,6166,72.1,26.21,157822.0
ATL → LAS,9889,75.29,16.09,157391.0
XNA → DFW,6790,75.49,23.68,157085.0
BOS → ATL,10018,78.6,15.87,156852.0
PHX → LAX,14787,83.3,10.59,155918.0
JFK → ATL,7850,75.17,20.12,155655.0
LAX → HNL,10940,80.53,14.32,155402.0
TVC → ORD,5822,72.06,27.3,155326.0
JFK → FLL,7772,72.88,20.49,155024.0
CLT → JFK,6945,72.86,22.92,154967.0
BOS → FLL,6655,69.9,23.76,154945.0
MCO → DEN,9334,76.68,16.76,153729.0
DFW → PHL,6845,70.44,23.02,153525.0
CLT → DFW,8135,73.33,19.31,153507.0
CLE → ORD,8513,79.69,18.38,153177.0
BNA → LGA,8830,78.69,17.89,153166.0
CLT → DCA,6345,67.65,24.6,153053.0
MCO → BWI,10258,77.42,15.2,152765.0
ORD → MSN,7546,74.19,20.63,152746.0
PHL → DFW,6856,74.89,22.91,152368.0
MCO → MIA,7672,78.0,20.01,150995.0
SMF → SAN,10676,75.91,14.29,150782.0
ORD → GRR,7833,74.9,19.47,149845.0
FLL → BOS,6634,70.65,22.92,149486.0
ORD → ATW,6167,71.71,24.8,149399.0
IAH → MCO,7281,76.43,20.85,148768.0
IAH → LAX,10839,81.62,13.83,147758.0
DEN → AUS,9549,75.73,15.59,147602.0
LGA → RDU,8583,78.22,17.77,147363.0
CLT → MIA,7436,73.98,20.09,147038.0
MCO → DTW,7631,75.66,19.47,146836.0
DTW → DFW,7525,74.72,19.9,146501.0
ATL → DTW,9897,78.08,14.91,146259.0
DEN → EWR,6313,72.82,23.75,146199.0
SEA → GEG,13324,80.3,11.02,145873.0
ANC → SEA,14464,84.4,10.18,145518.0
ORD → JFK,5607,72.15,26.76,145512.0
DCA → CLT,6340,76.44,23.39,145279.0
TUL → DFW,6169,76.68,24.33,145209.0
DFW → DTW,7519,75.45,19.63,145138.0
DTW → EWR,6875,76.28,21.78,145124.0
SAN → SJC,11208,77.88,13.06,145084.0
SEA → PDX,14355,80.82,10.18,145080.0
TPA → DFW,5833,72.47,25.76,144963.0
LAX → SEA,14860,84.6,9.86,144895.0
SJC → SAN,11286,76.65,12.98,144780.0
ORD → CMH,8504,76.41,17.22,144543.0
BOS → CLT,9482,81.09,15.5,144418.0
DFW → MSY,5941,66.02,25.09,144210.0
DTW → ATL,9895,80.41,14.7,143885.0
MIA → DCA,7963,73.77,18.52,143654.0
BOS → SFO,9021,76.01,16.06,143395.0
HNL → LAX,10933,83.92,13.19,143042.0
EWR → DFW,7014,76.93,20.97,142411.0
EWR → DTW,6875,77.47,21.37,142273.0
RDU → JFK,7783,77.85,18.85,141826.0
SAN → SMF,10683,76.34,13.36,141428.0
EWR → IAH,7488,75.82,19.24,141012.0
SFO → BOS,9018,78.77,15.73,140543.0
MCO → IAH,7283,77.58,19.65,140192.0
ORD → MIA,8680,77.17,16.39,140079.0
SLC → PHX,11616,83.65,12.11,139805.0
ORD → MCI,7507,74.84,18.94,139802.0
FLL → CLT,6832,77.41,20.78,139744.0
EWR → DCA,6385,74.44,23.07,139442.0
DTW → MCO,7634,77.36,18.49,139206.0
DFW → ELP,5797,68.36,24.59,139047.0
ORD → DAY,5405,73.85,26.14,138689.0
ORD → TVC,5825,71.96,24.26,138378.0
DCA → DFW,6713,77.74,21.28,138236.0
BNA → DCA,8402,77.3,16.99,138229.0
FLL → ORD,6000,73.18,23.37,137750.0
CID → ORD,5683,73.29,24.93,137699.0
MIA → CLT,7445,76.17,18.73,137518.0
LIT → DFW,5803,71.09,24.42,137443.0
LGA → DTW,8142,79.97,17.27,137339.0
PDX → SEA,14355,84.44,9.65,137296.0
RDU → EWR,5288,71.48,26.81,137066.0
BWI → BOS,7948,75.4,17.54,137036.0
LGA → BNA,8821,78.86,16.03,136988.0
ASE → DEN,5593,71.39,25.87,136708.0
DEN → ASE,5589,72.74,26.12,136542.0
MIA → LAX,6718,74.12,20.43,136390.0
ATL → IAD,7464,77.95,18.52,136274.0
ORD → IND,9060,79.78,15.3,136138.0
FLL → DFW,5803,71.19,24.19,135927.0
CLT → TPA,7434,73.02,18.69,135843.0
LGA → DCA,8974,78.35,15.65,135211.0
CLT → RDU,7023,73.34,19.53,135063.0
MCI → ORD,7507,79.6,18.32,134997.0
OKC → DFW,6536,75.95,21.28,134931.0
ATL → MSY,8959,76.96,15.24,134375.0
MIA → TPA,5704,70.73,24.0,134182.0
IAD → ATL,7461,79.6,18.26,134076.0
TPA → EWR,5724,74.03,24.21,134051.0
LAX → BOS,9216,81.31,14.61,133842.0
ORD → CVG,7945,76.0,17.1,133748.0
AUS → DEN,9555,79.83,14.11,133538.0
PHL → MIA,6272,76.19,21.69,133375.0
CLT → BNA,7446,73.55,18.2,133314.0
DEN → PDX,8982,75.05,14.98,133205.0
DFW → TPA,5835,68.56,23.51,132902.0
LGA → PBI,5929,71.18,22.95,132808.0
BUR → SFO,6453,70.4,20.94,132787.0
RDU → PHL,5100,73.01,26.65,132783.0
GRB → ORD,6106,74.6,22.15,132624.0
TPA → CLT,7430,78.52,18.22,132414.0
OGG → HNL,22350,88.62,5.97,131994.0
PDX → SFO,7928,73.46,16.84,131868.0
DFW → OKC,6538,72.63,20.76,131683.0
SLC → LAS,8191,76.06,16.12,131186.0
LAS → ATL,9916,82.25,13.39,131022.0
MIA → PHL,6270,74.78,21.29,130993.0
SJU → JFK,7718,80.37,17.19,130942.0
FLL → PHL,5381,75.07,24.82,130917.0
DFW → MSP,6475,74.97,20.55,130640.0
ATL → PHX,7455,76.26,17.65,130349.0
SAN → SEA,9211,79.4,14.32,129850.0
MCI → DFW,5149,73.23,25.97,129636.0
RDU → DCA,5678,68.67,23.65,129575.0
SMF → LAS,10711,81.22,12.19,129572.0
ORD → CID,5686,72.0,23.37,129281.0
IAH → LAS,7815,78.49,16.74,129152.0
LAS → SMF,10663,80.23,12.19,129065.0
BNA → PHL,5918,74.06,22.23,129041.0
DCA → BNA,8404,78.77,15.77,129027.0
SLC → SFO,6957,72.74,18.69,129004.0
MCI → DEN,8443,77.18,15.46,128930.0
CLT → FLL,6829,72.81,19.18,128795.0
ATL → JAX,8572,74.93,15.21,128703.0
ATL → AUS,8830,75.25,14.73,128627.0
RDU → CLT,7023,77.74,18.59,128553.0
GEG → SEA,13323,83.57,9.7,128275.0
ORD → GRB,6109,73.42,21.4,128163.0
ATL → PBI,8049,74.28,16.12,128112.0
AUS → LAX,8043,79.32,15.97,127551.0
CLT → BWI,6457,71.93,20.08,127451.0
EWR → PBI,6934,74.93,18.89,127368.0
IND → ORD,9068,82.29,14.27,127151.0
LAS → JFK,7284,79.82,17.81,127135.0
DEN → MCI,8479,76.58,15.13,126949.0
ORD → SAN,6242,74.53,20.65,126884.0
BWI → CLT,6458,76.04,19.92,126535.0
TPA → LGA,5180,73.34,25.06,126249.0
STL → DEN,7523,76.81,16.91,125806.0
DTW → LGA,8144,79.61,15.81,125726.0
DFW → MCI,5148,68.37,25.16,125671.0
DFW → TUL,6169,72.75,20.93,125136.0
SJU → MIA,5555,75.91,22.7,124925.0
DFW → DCA,6709,73.7,19.19,124779.0
BOS → MIA,7512,78.27,16.87,124610.0
LGA → TPA,5181,71.74,24.71,124587.0
MEM → DFW,5042,72.02,25.41,124430.0
AUS → PHX,6833,80.39,18.19,123290.0
ORD → SLC,6048,74.86,20.6,123174.0
DFW → MFE,5203,69.9,24.26,122944.0
DEN → SMF,8013,74.95,15.39,122581.0
MSP → DFW,6480,76.88,19.32,122480.0
IAH → PHX,6530,77.44,19.03,122385.0
JFK → RDU,7783,77.88,16.23,121954.0
ICT → DFW,5365,75.14,23.61,121860.0
DEN → PHL,6021,73.31,20.44,121479.0
IAH → CLT,5941,77.68,20.9,121472.0
DFW → FLL,5801,70.83,21.52,121438.0
DAY → ORD,5398,76.95,22.89,121281.0
DAL → HOU,8214,76.29,15.14,121250.0
MFE → DFW,5203,76.53,23.95,121112.0
CLT → IAH,5947,74.47,20.78,120775.0
ATL → RDU,9363,80.52,12.98,120341.0
ELP → DFW,5798,76.96,21.25,119791.0
TPA → ORD,6322,77.92,19.37,119762.0
HNL → OGG,22340,89.52,5.4,119450.0
PHL → DTW,6394,80.45,19.0,119152.0
PBI → LGA,5925,74.94,20.69,119027.0
PHX → SLC,11599,84.7,10.24,118251.0
JFK → ORD,5607,76.64,21.78,118213.0
ATL → SFO,6434,71.88,18.53,118071.0
BWI → FLL,7173,75.82,16.75,118047.0
LAS → OAK,8548,76.58,13.85,117885.0
DFW → ICT,5365,73.75,22.78,117851.0
CLT → GSP,6463,77.38,18.47,117796.0
TPA → PHL,5235,74.93,23.02,117724.0
LAX → IAH,10832,84.9,11.01,117196.0
MSY → ATL,8963,81.64,13.26,116926.0
SFO → SLC,6951,78.61,16.91,116845.0
SLC → ORD,6050,79.05,19.61,116842.0
SNA → PHX,8808,83.15,13.37,116832.0
DAL → ATL,7040,79.22,16.82,116600.0
JFK → CLT,6943,80.07,17.22,116577.0
LAX → AUS,8043,80.52,14.58,116356.0
BOI → SEA,11139,81.73,10.45,115903.0
ORD → PIT,6720,78.29,17.47,115809.0
CLT → DTW,7665,80.04,15.23,115587.0
IAH → SFO,6597,76.06,17.73,115507.0
RDU → ORD,6447,79.25,18.21,115489.0
DTW → PHL,6397,79.29,18.38,115348.0
AUS → ATL,8831,81.72,13.21,115171.0
BOS → BWI,7896,80.14,14.83,115096.0
PHL → FLL,5379,74.38,21.81,115008.0
LGA → STL,7525,80.42,15.74,114704.0
CLT → DEN,5847,71.98,19.85,114702.0
BUR → LAS,8862,80.1,13.09,114177.0
SGF → DFW,6121,75.56,19.04,114079.0
EWR → DEN,6321,75.86,18.43,113890.0
RDU → ATL,9364,84.83,12.3,113853.0
DEN → BNA,7788,76.17,14.75,113633.0
DSM → ORD,5640,77.78,20.6,113587.0
PHL → TPA,5231,73.36,22.21,113530.0
FLL → BWI,7169,75.84,16.12,113447.0
ORD → RDU,6448,77.05,17.81,113439.0
ORD → AUS,6059,73.97,18.84,112815.0
ORD → FLL,6004,76.53,19.07,112531.0
BNA → DEN,7778,78.86,14.61,112429.0
PHL → BNA,5913,75.89,19.41,112426.0
BOS → TPA,5616,73.69,20.46,112124.0
OMA → DEN,6581,76.81,17.26,112032.0
DFW → XNA,6793,77.03,16.9,112032.0
DTW → CLT,7666,83.56,14.71,111638.0
GSP → CLT,6462,78.07,17.48,111494.0
DEN → MIA,5061,70.74,22.28,111492.0
EWR → RDU,5291,73.75,21.57,111017.0
ORD → TPA,6302,76.9,17.91,110714.0
BNA → BOS,5682,75.1,19.68,110260.0
STL → LGA,7518,80.75,15.14,110198.0
SFO → SNA,9189,80.31,12.17,110160.0
TPA → BOS,5613,75.39,20.08,110092.0
DCA → RDU,5683,74.89,20.06,110004.0
TPA → MIA,5700,80.01,19.73,109969.0
SEA → HNL,5904,71.61,19.01,109892.0
AUS → ORD,6059,78.22,18.36,109847.0
MIA → DEN,5062,74.52,22.0,109816.0
DTW → DCA,5538,75.11,20.34,109722.0
DFW → LIT,5806,75.43,19.44,109630.0
DFW → MEM,5040,69.81,22.35,109487.0
PHL → DEN,6006,77.48,18.47,109281.0
DEN → TPA,6389,73.98,17.36,109133.0
SEA → SAN,9204,77.59,12.03,108994.0
CLT → SAV,5819,76.07,19.05,108883.0
SJC → LAS,8883,80.88,12.31,108660.0
CLT → RIC,5378,73.69,20.49,108536.0
ATL → MDW,7383,79.27,14.85,107871.0
TYS → CLT,5410,78.16,20.22,107695.0
ORD → DSM,5644,75.54,19.5,107623.0
LAX → MIA,6720,78.28,16.12,107466.0
MCO → RDU,5339,76.18,20.41,107383.0
SNA → DFW,5726,80.42,19.28,106904.0
LAS → BUR,8821,80.29,12.33,106898.0
DEN → OKC,6285,75.57,17.12,106694.0
CLT → ORF,5315,74.02,20.36,106610.0
DEN → STL,7511,77.25,14.24,106068.0
RDU → BOS,5913,80.04,18.13,105960.0
DEN → OMA,6554,75.4,16.34,105885.0
PHX → JFK,5417,78.7,19.88,105862.0
DEN → IAD,6806,77.9,15.73,105623.0
LAS → EWR,6169,78.47,17.51,105552.0
OKC → DEN,6300,76.74,16.88,105342.0
BOS → DEN,7769,78.57,13.7,105171.0
PHL → RDU,5099,74.72,21.07,105131.0
EWR → TPA,5720,75.84,18.97,105074.0
EWR → LAS,6168,78.07,17.27,104795.0
MCO → LAX,6119,78.97,17.28,104729.0
LIH → HNL,16722,88.01,6.33,104657.0
PIT → LGA,6554,82.15,16.49,104641.0
PDX → PHX,8064,81.74,13.08,104525.0
CLE → LGA,5884,79.71,18.47,104477.0
JAX → ATL,8572,84.22,12.35,104412.0
SNA → LAS,8149,81.07,12.93,104408.0
LBB → DFW,5371,78.88,19.91,104093.0
JFK → BUF,5585,75.44,19.34,103804.0
DEN → DAL,6337,72.69,16.6,103273.0
PDX → DEN,8950,81.73,11.66,103060.0
SFO → PDX,7923,79.2,13.14,102979.0
MIA → SJU,5553,75.76,18.7,102926.0
CLT → ILM,5736,76.12,18.2,102911.0
HOU → DAL,8221,80.66,12.84,102838.0
MDW → ATL,7342,81.5,14.21,102629.0
RIC → CLT,5378,79.51,19.38,102536.0
LGA → PIT,6549,81.17,16.08,102339.0
RDU → MCO,5335,78.42,19.53,102326.0
IAH → AUS,5744,75.77,18.01,101787.0
SEA → BOI,11139,83.6,9.16,101717.0
HNL → LIH,16720,88.51,6.12,101185.0
DAL → DEN,6325,73.73,16.26,101094.0
DTW → BOS,5561,76.59,18.34,100746.0
ROA → CLT,5249,76.36,19.43,100611.0
OMA → ORD,5279,78.57,19.44,100604.0
SAN → ORD,6242,81.47,16.39,100540.0
OAK → LAS,8560,80.58,11.8,100388.0
TPA → DEN,6389,78.41,15.99,100227.0
BWI → TPA,6066,77.28,16.9,100142.0
ORD → OMA,5276,73.52,19.31,100120.0
DCA → DTW,5538,78.39,18.53,99926.0
AUS → LAS,6279,76.43,15.99,99835.0
CHS → CLT,5562,81.23,18.25,99753.0
PIT → ORD,6723,82.46,15.04,99732.0
RSW → ORD,5616,79.08,18.12,99671.0
BOS → RDU,5912,78.25,17.07,99648.0
LAS → IAH,7832,82.27,12.92,99564.0
CLT → CHS,5559,75.88,18.17,99268.0
SEA → SMF,9207,80.02,10.83,99249.0
ORF → CLT,5315,80.76,18.98,99248.0
KOA → HNL,15538,88.3,6.45,99152.0
DFW → LBB,5374,76.87,18.95,99124.0
LAS → AUS,6287,76.03,15.8,98612.0
PHX → IAH,6532,82.85,15.38,98533.0
PHX → SNA,8808,81.88,11.24,98359.0
BUF → JFK,5584,79.47,18.35,98319.0
PHX → PDX,8038,80.99,12.28,97986.0
IAD → CLT,5891,80.36,16.91,97849.0
LAS → SLC,8211,82.37,12.0,97825.0
SDF → ORD,5868,79.46,16.96,97757.0
PBI → ATL,8048,83.17,12.28,97511.0
ILM → CLT,5739,82.36,17.26,97420.0
PHX → EWR,5216,74.85,19.0,96991.0
IAH → MSY,6404,79.91,15.44,96822.0
RNO → LAS,8103,81.45,12.09,96769.0
IAD → DEN,6809,80.77,14.41,96725.0
MAF → DFW,6075,79.41,16.29,96613.0
CLT → LAX,5502,75.27,17.75,96586.0
LAS → RNO,8082,79.68,12.08,96520.0
IAH → FLL,5349,77.48,18.36,96514.0
ORD → SDF,5867,78.46,16.73,96462.0
RAP → DEN,5127,78.16,19.15,96166.0
MSP → PHX,6663,81.38,14.48,95919.0
LAS → SJC,8894,81.8,10.84,95909.0
PHX → ATL,7453,83.47,12.98,95861.0
LAX → SMF,10798,86.62,8.89,95637.0
PVD → DCA,5090,78.29,19.45,95524.0
CLT → MYR,5189,74.9,18.72,95299.0
MCO → BNA,6196,76.54,15.61,95218.0
JFK → LAS,7278,80.74,13.19,94908.0
GSO → CLT,5959,80.3,16.19,94892.0
SEA → SJC,9133,81.08,10.45,94599.0
DEN → CLT,5844,77.95,16.28,94219.0
CLT → IAD,5884,80.82,16.29,94039.0
HOU → ATL,6246,81.86,15.22,93839.0
LGA → CLE,5883,79.28,16.54,93737.0
BOS → BNA,5679,76.52,16.77,93670.0
HNL → KOA,15534,88.76,6.08,93493.0
MSP → ATL,7236,82.22,13.0,93438.0
SEA → JFK,5820,73.58,16.4,93434.0
EWR → PHX,5216,78.15,18.16,93329.0
LAS → PDX,7367,79.04,12.77,93211.0
SMF → LAX,10815,87.29,8.58,92540.0
SMF → PHX,7364,84.28,12.59,92242.0
BWI → DEN,6217,76.76,15.02,92152.0
ATL → DAL,7021,79.55,13.32,92121.0
IAH → OKC,5089,78.05,18.47,92054.0
SLC → SEA,8141,79.56,11.41,92021.0
SAV → CLT,5812,83.21,16.1,91937.0
